사라, 197, 55
라타, 178, 76
바다, 173, 57
바아, 156, 80
타아, 190, 78
파마, 176, 80
파하, 163, 92
마마, 154, 89
하카, 158, 81
카차, 181, 79
타타, 182, 85
바자, 159, 81
차마, 179, 78
라가, 155, 56
바카, 184, 74
파타, 165, 81
다타, 158, 72
카자, 198, 85
타자, 195, 79
아다, 199, 87
타카, 199, 72
바바, 188, 98
하가, 177, 53
파라, 193, 81
바차, 180, 72
아라, 154, 94
차타, 188, 86
아아, 165, 87
차사, 153, 76
파카, 181, 59
자가, 151, 97
사차, 179, 56
아자, 166, 78
아아, 168, 52
아라, 164, 90
타차, 190, 84
바카, 186, 72
자타, 190, 59
라아, 150, 95
바하, 154, 64
바카, 199, 83
사마, 152, 94
파파, 166, 93
하아, 196, 68
라차, 179, 75
파파, 176, 68
가가, 151, 51
하바, 191, 63
차사, 168, 79
가자, 172, 60
다가, 184, 63
타가, 155, 99
마자, 193, 51
차하, 158, 96
차마, 171, 98
마카, 177, 87
아나, 160, 83
가타, 196, 72
다카, 151, 63
마나, 157, 60
마아, 171, 90
바하, 168, 62
사파, 153, 72
바파, 152, 68
하아, 159, 65
라아, 196, 67
나마, 186, 99
바나, 164, 75
바아, 159, 80
파사, 185, 85
타차, 155, 74
하카, 199, 75
하가, 156, 85
가파, 172, 51
사차, 198, 72
마사, 181, 53
차바, 155, 88
라하, 163, 95
차아, 175, 67
타아, 158, 89
바카, 151, 60
다라, 165, 83
사타, 171, 70
다사, 189, 70
나나, 175, 51
마바, 165, 89
카가, 158, 50
카바, 167, 97
자바, 196, 60
파다, 152, 53
바아, 197, 90
다바, 152, 71
타가, 184, 76
카바, 164, 89
나하, 199, 90
파마, 199, 55
차하, 181, 63
아타, 171, 62
바사, 173, 69
자파, 185, 70
아바, 168, 71
타카, 171, 98
차타, 178, 57
카아, 175, 61
자사, 181, 61
바아, 178, 98
가파, 176, 72
바나, 189, 74
가자, 186, 57
사아, 156, 94
가다, 150, 73
라차, 197, 97
아차, 183, 74
바사, 170, 75
자아, 180, 56
자가, 177, 75
마자, 171, 71
나사, 163, 67
자다, 189, 69
타하, 154, 68
카타, 173, 79
하가, 152, 80
다카, 195, 52
나다, 164, 79
파다, 162, 80
타아, 188, 83
파카, 189, 54
차타, 156, 80
카마, 181, 88
마자, 165, 54
타카, 181, 51
차나, 185, 70
자파, 175, 70
바하, 185, 56
사파, 198, 78
나아, 153, 94
사차, 169, 63
자타, 176, 73
가사, 174, 58
바사, 188, 95
차하, 190, 56
카하, 198, 83
바다, 150, 80
하라, 183, 56
바가, 183, 93
아하, 188, 70
바차, 191, 93
자하, 157, 82
다바, 166, 52
카카, 164, 95
카자, 168, 84
카다, 153, 74
나가, 199, 85
사아, 193, 74
타타, 162, 67
카타, 196, 67
바차, 191, 80
다파, 166, 62
하바, 154, 65
자타, 154, 55
라나, 183, 77
마차, 163, 64
하바, 169, 86
카자, 159, 80
아마, 170, 51
가바, 182, 75
타자, 183, 63
하타, 188, 62
카차, 180, 55
사차, 169, 82
차다, 178, 58
나가, 169, 98
가마, 167, 96
가사, 182, 59
바다, 164, 73
가라, 181, 80
카자, 174, 80
나다, 177, 87
마아, 192, 66
다나, 166, 89
사파, 177, 53
마마, 194, 73
하타, 178, 75
파가, 187, 97
가마, 197, 71
파차, 167, 88
마다, 165, 56
나카, 162, 68
가하, 174, 59
자가, 199, 57
아타, 158, 56
카라, 153, 72
자다, 160, 81
사가, 199, 64
가다, 172, 92
파나, 177, 97
라라, 157, 52
사하, 198, 58
카하, 184, 60
사하, 159, 68
바나, 159, 71
아마, 198, 89
하차, 193, 68
타바, 175, 59
하아, 185, 54
타사, 155, 89
바하, 157, 84
하카, 190, 89
카바, 191, 89
바라, 157, 81
라라, 176, 79
나라, 191, 89
사하, 181, 78
사아, 172, 84
카카, 190, 73
사라, 194, 80
아아, 169, 93
하나, 156, 80
사사, 192, 82
카라, 186, 75
바파, 199, 84
하카, 159, 93
가파, 196, 89
하차, 180, 92
바바, 169, 77
바다, 157, 50
다나, 150, 57
하차, 151, 66
바나, 188, 71
라사, 175, 62
아가, 182, 98
나라, 164, 86
다아, 193, 93
카차, 187, 58
가마, 177, 85
파자, 192, 53
자마, 187, 80
라라, 161, 70
아다, 190, 73
파바, 195, 51
차아, 169, 61
하하, 197, 98
차타, 168, 65
다아, 169, 54
라자, 161, 68
나타, 196, 60
카다, 177, 53
라사, 150, 76
카사, 160, 77
가타, 166, 99
하다, 164, 53
타파, 186, 66
하가, 172, 66
가다, 161, 94
카타, 171, 64
하아, 166, 99
가사, 194, 53
하다, 155, 87
파다, 185, 90
자마, 177, 68
마사, 158, 73
하라, 182, 99
타아, 160, 72
바다, 184, 60
사나, 167, 94
다라, 152, 80
파타, 183, 68
나가, 193, 85
나바, 170, 88
사라, 183, 64
카아, 194, 89
바카, 196, 91
사파, 181, 83
타다, 155, 71
라타, 181, 90
라타, 190, 85
나사, 160, 87
자파, 187, 90
카바, 184, 64
라아, 163, 73
사나, 157, 53
타타, 188, 91
가타, 192, 66
나카, 164, 74
나사, 189, 71
하차, 195, 79
자가, 153, 95
마마, 198, 77
가카, 161, 54
사가, 191, 95
아사, 155, 99
하마, 191, 94
나마, 173, 81
라바, 199, 67
다나, 198, 67
마하, 198, 75
자카, 179, 83
카자, 184, 88
파하, 164, 91
타카, 167, 99
아파, 154, 98
가차, 176, 58
카파, 191, 74
다타, 191, 54
가파, 160, 55
가파, 183, 56
아자, 172, 62
하사, 153, 50
나사, 153, 97
마아, 150, 82
바카, 179, 69
나가, 157, 79
라하, 189, 62
다사, 178, 69
라파, 180, 56
하타, 175, 61
타사, 195, 80
바사, 164, 57
사타, 192, 87
카하, 161, 55
바라, 153, 90
아하, 157, 58
라라, 180, 87
타바, 165, 87
나파, 178, 63
라차, 156, 91
자아, 167, 61
타카, 171, 93
타타, 162, 58
아가, 191, 82
하하, 154, 62
차라, 150, 99
아아, 171, 93
차타, 198, 83
차다, 188, 78
바카, 162, 64
파하, 187, 55
가다, 190, 93
타사, 178, 69
바차, 166, 58
카하, 176, 51
라아, 178, 80
가카, 183, 53
차자, 195, 85
파자, 158, 95
타다, 156, 77
타바, 152, 98
라타, 185, 93
나나, 167, 77
파타, 199, 83
바다, 162, 51
바바, 174, 60
라라, 152, 55
나아, 176, 87
자아, 156, 95
바하, 169, 56
가카, 158, 82
마카, 176, 56
아라, 172, 77
가하, 199, 51
카가, 170, 99
마카, 174, 52
파나, 183, 79
카가, 180, 63
자사, 187, 52
가라, 173, 68
차차, 163, 97
마사, 195, 87
마아, 167, 80
바아, 153, 68
파아, 186, 90
가라, 150, 65
아다, 175, 99
라사, 153, 65
하가, 181, 96
하자, 157, 75
라파, 197, 55
나바, 199, 60
바마, 156, 85
나사, 159, 68
타타, 169, 78
하마, 163, 64
카나, 181, 93
타아, 150, 88
하타, 175, 63
마자, 191, 93
차파, 189, 68
바가, 167, 56
아아, 194, 69
마카, 157, 82
타가, 162, 98
파차, 155, 83
카차, 164, 81
카타, 155, 61
하파, 192, 99
나라, 188, 56
가사, 166, 83
바자, 168, 79
라타, 195, 75
아나, 179, 81
자자, 165, 86
라카, 191, 71
바차, 169, 90
마나, 153, 66
마카, 184, 96
카라, 150, 88
가차, 151, 70
사마, 189, 78
마아, 195, 67
카라, 191, 61
다라, 172, 98
자라, 168, 93
사가, 168, 88
라타, 187, 77
바바, 167, 50
바라, 152, 57
가타, 169, 93
바나, 165, 74
자자, 192, 75
타자, 152, 71
가나, 179, 78
바다, 155, 68
파나, 184, 54
자파, 156, 71
사바, 188, 56
하아, 179, 84
라파, 169, 51
아차, 193, 70
타타, 184, 83
하바, 166, 72
다아, 154, 91
라나, 175, 81
사자, 191, 56
바나, 194, 83
차아, 193, 52
카카, 161, 95
자아, 172, 63
아바, 185, 88
가타, 166, 89
카나, 163, 62
가사, 163, 56
타나, 176, 55
나사, 162, 87
바사, 194, 81
타나, 176, 64
카차, 168, 91
차카, 162, 92
자아, 199, 83
나다, 158, 70
다타, 168, 96
나자, 185, 94
아다, 194, 93
마아, 174, 85
아바, 187, 50
다차, 177, 90
파가, 190, 78
나타, 178, 74
사사, 159, 87
차라, 173, 87
하아, 190, 55
나자, 153, 51
라사, 191, 52
바자, 193, 83
나나, 182, 62
차하, 194, 84
타타, 196, 91
다하, 179, 96
사마, 175, 77
타다, 194, 86
바차, 192, 70
라카, 187, 99
자마, 150, 76
가차, 199, 90
사파, 194, 78
파사, 169, 97
파사, 199, 61
가가, 187, 67
하다, 185, 70
자자, 198, 71
다가, 193, 85
라사, 175, 82
타차, 164, 98
파카, 177, 52
바다, 199, 78
아하, 193, 54
아가, 191, 67
타라, 195, 66
사차, 188, 90
바가, 191, 98
아파, 161, 59
다라, 198, 75
타가, 185, 73
카라, 162, 93
하카, 185, 79
타자, 184, 51
사나, 178, 61
바아, 167, 64
타바, 199, 62
마다, 190, 52
다자, 173, 92
